League,Team,Matches,Wins,Draws,Losses,Points,Expected Points,Goals For,Goals Against,Goal Difference,Avg Age,Possession %,Goals p90,xG p90,Shots p90,Shot Accuracy %,Crosses p90,Dribbles p90,Touches in Box p90,xG Against p90,Goals Against p90,Shots Against p90,Defensive Duels p90,Defensive Duels Won %,Aerial Duels p90,Aerial Duels Won %,PPDA,Passes p90,Pass Accuracy %,Through Passes p90,Passes to Final Third p90,Passes to Final Third Acc %,Long Passes p90,Long Pass Accuracy %,Progressive Passes p90,Progressive Runs p90
England 2,Queens Park Rangers,42,16,10,16,58,58.5,58,63,-5,26.4,44.9,1.25,1.13,10.29,32.7,13.6,,16.58,1.11,1.36,9.97,53.22,61.8,50.65,45.8,14.52,333.86,80.2,2.76,44.09,66.4,41.85,55.8,66.84,13.04
England 2,Charlton Athletic,42,12,13,17,49,49.3,39,51,-12,27.2,43.8,0.84,1.05,8.61,33.6,12.98,,14.08,1.4,1.09,13.18,58.55,63.6,58.38,45.0,12.01,289.99,77.3,3.66,44.9,59.5,46.04,52.0,60.26,9.83
England 2,Oxford United,42,10,14,18,44,46.1,41,54,-13,26.0,40.5,0.89,0.93,9.81,30.8,11.86,,13.03,1.32,1.17,11.18,61.86,63.1,46.99,45.7,14.23,283.46,75.8,3.24,41.95,58.6,46.55,51.4,59.17,9.25
England 3,Cardiff City,42,24,10,8,82,67.4,77,43,34,24.6,63.8,1.65,1.51,13.17,35.1,17.22,19.49,22.66,1.18,0.92,10.26,46.64,63.8,36.23,49.5,9.44,468.35,84.6,3.19,57.19,70.8,44.2,53.1,72.29,17.32
England 3,Bolton Wanderers,43,19,16,8,73,76.3,64,45,19,25.8,59.1,1.35,1.64,13.45,31.9,17.3,21.81,21.47,1.08,0.99,8.57,50.05,61.3,48.73,51.6,9.44,431.31,82.8,3.45,54.03,64.6,48.05,49.0,66.34,16.99
England 3,Luton Town,42,18,10,14,64,63.7,59,51,8,26.3,56.2,1.26,1.35,10.72,33.2,15.3,19.5,17.31,1.17,1.09,8.38,51.68,64.0,47.8,45.3,8.6,375.39,80.0,2.9,54.66,62.2,45.8,46.4,65.81,13.13
England 3,Peterborough United,42,15,6,21,51,51.6,61,61,0,23.9,55.5,1.34,1.34,10.0,36.9,13.52,17.3,15.15,1.52,1.28,11.72,52.91,62.4,41.37,46.2,11.34,408.78,81.7,3.52,44.82,61.0,44.05,47.6,68.3,15.32
England 3,Stockport County,41,20,10,11,70,60.7,61,50,11,28.2,53.7,1.34,1.31,10.34,38.6,17.5,14.73,16.0,1.11,1.08,9.15,56.52,64.9,47.17,52.8,10.1,395.85,79.5,2.48,54.35,60.9,55.51,52.6,72.5,12.38
England 3,Barnsley,41,14,13,14,55,49.6,63,65,-2,26.9,51.8,1.39,1.16,9.94,36.4,12.96,16.05,16.14,1.43,1.44,10.42,50.54,61.2,47.12,49.8,11.21,372.5,79.8,2.87,49.15,57.7,50.32,47.3,63.53,12.1
England 3,Wycombe Wanderers,43,16,12,15,60,70.6,63,51,12,26.3,51.6,1.31,1.44,10.54,37.6,15.5,14.73,16.71,1.08,1.06,9.1,53.59,60.4,48.2,45.1,10.76,379.11,79.3,4.15,52.77,59.5,54.86,51.5,72.08,9.85
England 3,Leyton Orient,43,14,9,20,51,52.9,57,66,-9,25.1,51.0,1.18,1.14,9.54,35.4,11.45,15.05,14.82,1.34,1.39,9.98,55.74,63.6,54.79,42.2,8.5,341.49,76.5,3.35,50.15,54.6,54.42,46.4,62.8,10.99
England 3,Bradford City,42,21,8,13,71,65.8,52,46,6,27.7,50.9,1.12,1.38,10.82,34.3,17.74,13.74,18.0,1.02,0.99,9.17,60.52,64.3,58.86,48.0,8.53,328.02,71.4,2.86,58.09,53.5,64.49,46.6,71.51,10.26
England 3,Reading,43,16,14,13,62,52.1,62,55,7,26.1,50.8,1.29,1.06,9.26,34.7,10.7,11.33,13.52,1.26,1.17,10.18,55.21,61.5,46.41,46.9,10.78,366.67,78.9,2.98,49.18,55.3,56.48,45.3,66.64,9.66
England 3,Huddersfield Town,43,17,12,14,63,70.8,66,57,9,25.8,50.3,1.37,1.39,10.53,36.3,14.17,16.26,16.87,1.03,1.16,8.72,55.87,61.4,46.9,50.4,11.08,349.49,77.8,2.95,48.0,54.2,48.4,44.6,61.65,10.95
England 3,Exeter City,43,12,11,20,47,49.5,47,55,-8,25.8,50.2,0.99,1.05,8.58,34.0,14.45,9.56,14.05,1.5,1.15,10.95,56.86,59.2,46.6,43.7,10.93,382.69,79.7,3.8,49.06,57.2,56.32,51.7,71.71,8.35
