League,Team,Matches,Wins,Draws,Losses,Points,Expected Points,Goals For,Goals Against,Goal Difference,Avg Age,Possession %,Goals p90,xG p90,Shots p90,Shot Accuracy %,Crosses p90,Dribbles p90,Touches in Box p90,xG Against p90,Goals Against p90,Shots Against p90,Defensive Duels p90,Defensive Duels Won %,Aerial Duels p90,Aerial Duels Won %,PPDA,Passes p90,Pass Accuracy %,Through Passes p90,Passes to Final Third p90,Passes to Final Third Acc %,Long Passes p90,Long Pass Accuracy %,Progressive Passes p90,Progressive Runs p90
England 5,Boreham Wood,44,25,9,10,84,73.8,91,58,33,27.2,57.5,1.96,1.71,12.49,45.1,13.62,19.68,25.38,1.12,1.18,9.52,53.42,63.6,32.9,51.3,10.19,438.35,82.1,5.67,58.41,61.1,50.8,48.0,76.53,18.16
England 5,Rochdale,44,32,6,6,102,86.7,85,39,46,25.4,57.5,1.76,1.79,11.73,41.2,14.25,16.03,21.11,0.87,0.81,7.66,42.68,61.6,34.35,48.5,14.83,502.74,87.2,5.6,57.63,70.0,44.47,50.5,77.17,16.63
England 5,Wealdstone,43,15,10,18,55,58.1,65,71,-6,25.6,57.3,1.41,1.34,11.59,34.5,15.64,24.35,18.28,1.33,1.49,9.08,57.66,65.5,39.78,46.9,9.12,391.99,81.7,3.18,50.68,61.9,45.18,50.6,69.0,17.91
England 5,Sutton United,44,11,14,19,47,50.0,58,76,-18,22.6,55.2,1.21,1.19,10.45,37.9,13.49,17.04,15.81,1.54,1.58,11.95,61.43,62.7,52.59,46.8,8.74,395.2,80.0,3.13,50.32,58.9,48.71,49.0,71.38,14.93
England 5,Forest Green Rovers,44,22,12,10,78,76.3,76,49,27,25.6,53.8,1.59,1.66,14.81,36.6,18.96,22.7,21.62,0.96,1.01,8.11,56.97,64.4,46.52,48.3,8.73,349.15,77.7,4.75,54.94,62.1,46.5,46.9,68.32,21.07
England 5,Aldershot Town,44,13,7,24,46,61.8,68,83,-15,24.8,52.9,1.42,1.58,11.79,35.2,16.67,19.5,18.38,1.5,1.73,10.21,63.9,64.9,49.71,44.8,9.36,365.92,78.4,3.08,58.19,60.4,53.69,50.1,72.08,15.35
England 5,Altrincham,44,15,6,23,51,54.4,50,63,-13,26.6,52.2,1.05,1.21,10.43,39.0,13.07,20.27,15.31,1.41,1.22,12.97,57.42,61.3,37.8,46.0,13.08,375.25,81.6,2.77,45.65,60.5,48.92,50.6,66.15,13.28
England 5,Southend United,43,21,12,10,75,81.9,72,40,32,25.8,52.1,1.54,1.89,14.4,36.4,19.17,18.18,21.97,0.96,0.81,8.63,52.37,64.2,50.73,45.7,11.87,384.83,81.4,3.35,51.71,63.1,45.88,49.9,68.59,14.74
England 5,Gateshead,44,14,8,22,50,40.0,52,84,-32,25.8,50.6,1.06,1.11,9.08,33.9,10.93,15.92,15.28,1.98,1.71,13.49,59.78,59.4,41.21,43.7,13.45,375.75,81.0,4.38,52.29,57.3,53.2,45.8,65.45,13.78
England 5,Woking,44,15,15,14,60,60.3,66,53,13,25.9,49.7,1.35,1.31,9.48,37.4,14.25,17.93,15.21,1.38,1.09,9.81,60.56,64.3,53.99,44.1,10.52,337.44,77.9,3.07,47.99,57.1,47.01,45.5,63.88,13.14
England 5,Morecambe,44,9,11,24,38,46.4,66,95,-29,27.0,49.6,1.41,1.16,10.5,35.7,12.15,16.84,13.24,1.75,2.01,13.33,55.92,60.6,39.33,46.1,13.73,356.17,79.4,3.36,47.6,57.4,47.22,44.9,63.54,12.53
England 5,Carlisle United,44,27,8,9,89,65.9,83,51,32,25.9,49.0,1.91,1.55,12.93,39.6,15.46,21.5,17.56,1.11,1.06,9.93,58.77,64.1,47.98,48.8,10.45,342.39,76.7,4.79,51.76,56.7,50.66,46.0,69.12,15.46
England 5,Scunthorpe United,43,22,12,9,81,62.7,76,60,16,27.0,48.6,1.69,1.62,11.9,37.3,14.18,17.43,19.44,1.3,1.18,9.7,56.4,64.4,55.13,44.9,10.22,332.51,74.6,3.52,59.73,56.5,58.81,47.4,71.34,12.66
England 5,Solihull Moors,44,13,14,17,53,55.3,67,68,-1,23.9,48.3,1.38,1.29,10.46,40.2,12.99,13.79,14.61,1.45,1.4,12.27,63.53,61.1,51.76,42.8,12.42,370.33,79.8,2.92,49.79,60.8,51.62,50.9,70.3,13.34
England 5,Braintree Town,44,8,12,24,36,43.7,36,69,-33,24.3,47.9,0.74,1.23,10.42,33.3,12.95,19.91,15.51,1.97,1.42,15.04,66.78,62.6,55.05,42.7,10.49,317.4,77.1,3.55,48.76,58.7,52.87,49.2,64.91,13.46
England 5,Halifax Town,44,19,10,15,67,57.4,66,60,6,24.8,47.8,1.41,1.33,9.66,41.0,15.97,18.09,14.6,1.4,1.24,10.9,57.44,62.7,39.05,43.9,14.8,353.36,81.3,3.0,44.89,65.7,44.23,51.4,65.59,15.74
England 5,Hartlepool United,43,16,14,13,62,52.0,47,52,-5,29.3,47.4,1.02,1.23,10.53,35.5,13.48,15.4,15.38,1.45,1.1,12.05,67.76,63.9,53.94,44.3,11.19,348.1,77.8,3.96,50.33,58.3,50.74,50.0,68.8,12.48
England 5,Yeovil Town,44,15,6,23,51,47.7,47,61,-14,26.7,47.1,0.99,1.05,8.54,35.4,8.62,15.84,11.54,1.46,1.26,11.92,57.83,63.1,45.58,47.8,15.22,336.98,80.7,2.92,45.45,57.8,46.61,46.8,59.49,11.71
England 5,Truro City,44,7,10,27,31,50.3,40,71,-31,25.7,44.5,0.83,1.01,8.58,32.7,12.49,13.36,14.58,1.29,1.48,10.35,63.12,65.9,63.97,43.7,10.75,292.48,74.9,3.01,53.33,54.5,56.68,50.6,62.78,9.39
England 5,Boston United,44,13,14,17,53,56.8,57,66,-9,25.5,43.6,1.19,1.17,9.1,37.9,13.79,14.58,14.75,1.31,1.32,9.98,65.02,64.1,55.77,44.6,11.26,304.23,74.8,3.26,51.87,55.8,53.8,49.2,65.27,9.83
England 5,Eastleigh,44,12,10,22,46,48.1,55,79,-24,26.0,40.9,1.15,1.19,8.44,40.7,12.45,13.7,12.55,1.63,1.63,12.13,60.4,64.5,50.33,42.4,14.9,288.01,75.3,3.96,45.24,51.9,49.43,47.6,59.77,9.84
England 5,Brackley Town,44,9,12,23,39,52.6,38,71,-33,28.1,39.3,0.8,1.13,8.92,36.6,14.62,16.11,13.94,1.4,1.45,11.67,60.36,61.3,53.4,46.4,13.91,246.19,74.6,1.79,39.58,58.5,44.23,51.8,57.25,9.78
England 5,Tamworth,44,16,10,18,58,43.4,57,69,-12,29.7,37.6,1.44,1.18,9.76,37.4,12.82,14.75,15.18,1.56,1.44,11.46,56.29,60.3,61.84,43.2,12.54,209.63,65.4,3.47,45.85,52.6,53.58,49.6,58.77,7.98
Scotland 1,Celtic,33,21,4,8,67,64.5,59,35,24,27.3,64.2,1.65,2.01,14.27,35.4,21.56,18.98,29.1,1.06,0.98,7.96,48.2,58.9,37.96,49.5,8.86,571.01,87.0,5.13,65.27,78.2,36.56,50.8,78.22,19.71
Scotland 1,Motherwell,33,14,12,7,54,54.4,52,29,23,26.6,59.0,1.46,1.48,11.53,39.2,15.51,17.67,19.18,1.16,0.81,8.86,54.69,62.4,31.89,44.5,10.32,492.49,85.6,2.75,51.86,71.2,41.37,57.3,73.45,16.88
Scotland 1,Rangers,33,19,12,2,69,57.5,66,31,35,25.4,58.8,1.84,1.76,14.2,39.4,17.04,23.83,23.02,1.11,0.86,9.1,53.0,64.4,37.72,46.5,8.86,436.42,84.8,3.37,51.86,72.4,37.92,52.8,67.4,16.26
Scotland 1,Hearts,33,21,7,5,70,58.7,58,28,30,27.6,51.6,1.62,1.62,12.19,38.4,15.67,17.38,19.27,1.01,0.78,8.7,56.98,63.5,57.01,49.9,9.09,374.59,80.2,2.45,50.76,64.5,46.32,54.9,70.45,10.96
Scotland 1,Falkirk,33,13,7,13,46,46.1,45,48,-3,26.2,50.4,1.26,1.34,9.97,36.2,16.72,15.99,14.9,1.33,1.34,10.53,62.75,60.9,44.73,45.6,10.04,364.43,78.7,3.25,49.72,58.8,51.76,51.7,66.05,11.15
Scotland 1,Hibernian,33,13,12,8,51,52.4,51,37,14,27.4,49.0,1.43,1.45,10.88,38.9,16.56,15.19,18.36,1.15,1.04,9.89,52.27,58.2,41.06,45.5,13.72,377.55,82.3,2.94,45.43,65.1,43.58,53.1,66.51,11.52
Scotland 1,Aberdeen,33,9,6,18,33,38.9,33,48,-15,26.4,47.6,0.92,1.3,9.65,32.7,12.49,16.48,16.06,1.62,1.34,12.89,61.78,60.3,39.91,45.1,11.38,351.97,79.5,3.32,43.17,60.8,44.74,46.6,61.36,12.19
Scotland 1,Dundee,33,8,9,16,33,33.5,34,53,-19,25.2,45.1,0.95,1.04,8.44,33.7,14.49,17.39,11.73,1.55,1.48,13.26,49.9,61.9,40.85,52.0,17.55,312.38,78.5,1.37,41.8,55.6,39.79,43.0,54.53,12.07
Scotland 1,St. Mirren,33,7,9,17,30,41.7,27,48,-21,27.2,44.8,0.76,1.15,9.69,32.1,16.87,13.59,17.15,1.35,1.34,10.48,59.07,60.4,47.8,43.0,12.18,327.47,78.0,2.75,48.33,61.6,51.58,54.5,68.06,9.55
Scotland 1,Livingston,33,1,13,19,16,26.2,35,66,-31,28.7,43.8,0.97,0.93,8.09,37.0,13.71,14.7,13.1,1.97,1.83,12.82,62.5,57.7,48.05,44.4,12.61,318.71,77.8,2.41,43.59,61.0,49.54,52.9,65.38,9.97
Scotland 1,Kilmarnock,33,6,10,17,28,36.6,37,65,-28,25.3,42.0,1.04,1.26,9.41,35.4,14.08,11.76,14.58,1.79,1.82,12.09,62.57,59.3,48.43,46.0,13.07,302.47,76.6,2.83,47.84,59.4,48.68,53.9,66.23,8.2
Scotland 1,Dundee United,33,9,13,11,40,41.6,45,54,-9,25.0,41.6,1.25,1.35,10.95,37.4,15.52,15.69,18.06,1.6,1.51,12.6,59.09,61.4,53.35,44.9,11.96,278.17,72.6,2.9,43.29,56.7,47.91,48.7,64.13,11.51
