League,Team,Matches,Wins,Draws,Losses,Points,Expected Points,Goals For,Goals Against,Goal Difference,Avg Age,Possession %,Goals p90,xG p90,Shots p90,Shot Accuracy %,Crosses p90,Dribbles p90,Touches in Box p90,xG Against p90,Goals Against p90,Shots Against p90,Defensive Duels p90,Defensive Duels Won %,Aerial Duels p90,Aerial Duels Won %,PPDA,Passes p90,Pass Accuracy %,Through Passes p90,Passes to Final Third p90,Passes to Final Third Acc %,Long Passes p90,Long Pass Accuracy %,Progressive Passes p90,Progressive Runs p90
England 4,Oldham Athletic,31,10,12,9,42,46.3,34,30,4,29.2,46.0,0.98,1.47,11.15,35.1,14.74,12.39,15.23,1.26,0.87,9.99,59.33,65.6,68.37,46.8,8.98,280.25,71.9,2.75,53.46,59.1,57.6,52.9,70.51,7.38
England 4,Barrow,32,7,6,19,27,34.2,33,50,-17,26.7,45.4,0.93,1.02,9.2,32.8,16.03,15.97,13.82,1.46,1.41,11.82,57.84,61.6,62.49,44.4,12.66,312.66,74.9,2.14,49.2,58.0,51.8,52.1,69.52,9.85
England 4,Shrewsbury Town,34,10,8,16,38,38.0,33,52,-19,26.1,43.5,0.87,0.86,9.46,29.1,11.93,15.03,13.6,1.17,1.38,9.97,58.4,65.7,61.05,46.5,9.98,274.16,70.3,3.79,49.63,52.5,54.56,46.7,65.85,8.96
England 4,Bromley,33,18,11,4,65,50.1,56,34,22,27.5,42.4,1.53,1.38,10.79,36.4,15.5,13.22,16.08,1.17,0.93,9.67,55.69,65.3,69.62,46.9,9.47,236.21,63.7,2.53,54.99,50.7,57.03,45.9,63.49,7.49
England 4,Walsall,32,14,8,10,50,44.6,40,35,5,25.5,40.6,1.12,1.14,9.22,35.4,12.73,17.7,13.63,1.05,0.98,9.36,55.97,66.8,56.56,45.6,12.91,233.25,69.2,2.42,46.81,53.4,46.87,44.4,57.24,12.17
England 5,York City,34,24,8,2,80,70.0,91,32,59,26.9,62.4,2.4,2.17,14.61,45.0,22.53,18.15,22.3,1.08,0.85,9.17,50.69,65.1,35.48,48.9,10.34,476.6,85.1,3.75,50.59,66.0,46.86,50.7,70.35,20.95
England 5,Wealdstone,31,10,9,12,39,38.5,38,51,-13,25.4,58.1,1.15,1.26,11.49,31.8,15.3,23.56,17.51,1.43,1.48,9.8,56.7,65.7,39.53,46.1,8.95,389.55,81.9,3.21,48.57,60.3,44.58,49.9,66.96,17.3
England 5,Boreham Wood,33,19,7,7,64,56.4,63,39,24,27.4,57.2,1.78,1.74,12.75,44.9,13.88,19.77,24.85,1.1,1.1,9.7,54.32,64.4,32.89,50.8,10.5,437.7,82.1,5.61,57.54,61.4,50.06,47.1,76.26,17.51
England 5,Rochdale,33,25,4,4,79,67.9,63,23,40,26.5,56.8,1.74,1.87,11.92,42.6,13.71,15.81,21.27,0.86,0.63,7.67,43.45,61.1,33.96,48.7,14.23,496.96,87.0,5.08,57.08,69.9,43.48,49.2,76.04,16.77
England 5,Forest Green Rovers,35,16,11,8,59,62.8,58,41,17,25.4,53.8,1.5,1.7,15.18,36.2,20.6,23.98,22.56,0.94,1.06,7.9,56.62,63.7,46.08,48.3,8.84,352.69,77.7,4.49,55.2,64.3,45.08,47.8,69.71,22.38
